epoch,train_loss,train_acc1,val_mae,val_rmse,val_r,val_acc1,val_acc2
1,66.3830078125,0.0,95.54239654541016,95.5559646637116,-0.06512829661369324,0.0,0.0
2,65.43131474086216,0.0,94.34662628173828,94.36027409945882,-0.05945500358939171,0.0,0.0
3,64.6734865461077,0.0,93.31443786621094,93.32819693827798,-0.03951092064380646,0.0,0.0
4,63.96235209873745,0.0,92.25657653808594,92.27048701203164,-0.04027724638581276,0.0,0.0
5,63.19476045880999,0.0,91.12810516357422,91.14217730762745,-0.03944564238190651,0.0,0.0
6,62.39074020385742,0.0,89.90715026855469,89.92140937107942,-0.03221789002418518,0.0,0.0
7,61.51532560076032,0.0,88.57788848876953,88.59237212332391,-0.018423182889819145,0.0,0.0
8,60.556243133544925,0.0,87.12837982177734,87.14309745237284,-0.024174248799681664,0.0,0.0
9,59.51581780569894,0.0,85.54891204833984,85.5638952817206,-0.016310708597302437,0.0,0.0
10,58.38287680489676,0.0,83.83125305175781,83.84653659644357,-0.014953034929931164,0.0,0.0
11,57.14789842878069,0.0,81.9677505493164,81.98337591110317,-0.005674951244145632,0.0,0.0
12,55.81913114275251,0.0,79.95329284667969,79.9693300584668,-0.01583270914852619,0.0,0.0
13,54.374789755684986,0.0,77.78181457519531,77.79830128989803,-0.013794762082397938,0.0,0.0
14,52.82871518816267,0.0,75.45111083984375,75.46810946933148,-0.01594107784330845,0.0,0.0
15,51.1672004699707,0.0,72.95490264892578,72.97247046189747,-0.009587898850440979,0.0,0.0
16,49.393428148542135,0.0,70.29135131835938,70.30958674520318,0.000794274325016886,0.0,0.0
17,47.504268755231585,0.0,67.45697784423828,67.47597590415977,0.010237805545330048,0.0,0.0
18,45.489856828962054,0.0,64.4463119506836,64.46620132504512,-0.00452087540179491,0.0,0.0
19,43.3548097882952,0.0,61.25816345214844,61.27908270007393,-0.009788100607693195,0.0,0.0
20,41.101571219308035,0.0,57.88835525512695,57.91048495374672,-0.006391417700797319,0.0,0.0
21,38.720645795549665,0.0,54.33234786987305,54.355932360805845,-0.006423221435397863,0.0,0.0
22,36.208387647356304,0.0,50.58854675292969,50.61388284570499,-0.0034487301018089056,0.0,0.0
23,33.566151646205356,0.0,46.6522216796875,46.67968161610842,-0.004317143000662327,0.0,0.0
24,30.79123584202358,0.0,42.51986312866211,42.54998640156583,0.015295242890715599,0.0,0.0
25,27.87803589957101,0.0,38.188255310058594,38.22180492952043,0.005284573882818222,0.0,0.0
26,24.82979267665318,0.0,33.65322494506836,33.691286458120366,0.0070976330898702145,0.0,0.0
27,21.636248234340123,0.0,28.909984588623047,28.95427703624123,0.006725518964231014,0.0,0.0
28,18.29935700552804,0.0,23.956106185913086,24.0095437465598,0.0020783129148185253,0.0,0.0
29,14.818304307120187,0.0,18.78727912902832,18.855382564672514,-0.013033733703196049,0.0,0.0
30,11.18989977155413,0.0,13.399527549743652,13.494838716971401,-0.006230291444808245,0.0,0.0
31,7.403276879446847,0.0,7.790153980255127,7.952947528410359,0.011298906989395618,0.0,0.008064516129032258
32,3.4812716381890434,0.031087662492479597,2.200225830078125,2.52530659995318,-0.011570984497666359,0.22580645161290322,0.4032258064516129
33,0.9192554133278983,0.43181818212781636,1.3462425470352173,1.5929402556964853,0.16001230478286743,0.41935483870967744,0.8467741935483871
34,0.7885718532970973,0.49902597325188774,1.2251254320144653,1.5419839154553692,0.2719806134700775,0.5,0.8225806451612904
35,0.7805639386177063,0.5366071428571428,1.2189825773239136,1.505062540598859,0.4235277771949768,0.5161290322580645,0.8145161290322581
36,0.7448882392474583,0.5477272731917245,1.1316583156585693,1.4692472062706654,0.4021812379360199,0.5161290322580645,0.8629032258064516
37,0.7202433160373143,0.5994318178721837,1.1660569906234741,1.525347876346613,0.41815680265426636,0.532258064516129,0.7903225806451613
38,0.761972085067204,0.5306818178721837,1.0939102172851562,1.4187942497982216,0.4813825190067291,0.5080645161290323,0.8870967741935484
39,0.7200238857950483,0.5591720781155995,1.2196099758148193,1.5198465133019097,0.44960811734199524,0.5483870967741935,0.7903225806451613
40,0.7361164195196969,0.5785714285714286,1.0679582357406616,1.4171505083095106,0.47607070207595825,0.5241935483870968,0.8548387096774194
41,0.7343990394047328,0.5508928571428572,1.0618547201156616,1.425713942519812,0.5030674338340759,0.532258064516129,0.8709677419354839
